00002 - KAH DEBBY : KAHDEBBY: KEY - MJS: RING - FWT
00003 - ADA CX MMA : ADACXMMA: KEY - MHM: RING - FWT
00003 - AXA AXL IW : AXAAXLIW: KEY - MYP: RING - FWT
00003 - BDM JK HDI : BDMJKHDI: KEY - MXC: RING - FWT
00003 - BOL SKH XG : BOLSKHXG: KEY - MFP: RING - FWT
00003 - BRAK KG AW : BRAKKGAW: KEY - MDZ: RING - FWT
00003 - CE XXS OWL : CEXXSOWL: KEY - MRY: RING - FWT
00003 - CH KMS SBB : CHKMSSBB: KEY - MON: RING - FWT
00003 - CXD CSP EH : CXDCSPEH: KEY - MRU: RING - FWT
00003 - CZW PSY SI : CZWPSYSI: KEY - MCD: RING - FWT
00003 - DLL GH MOH : DLLGHMOH: KEY - MYC: RING - FWT
00003 - DOH DH BBI : DOHDHBBI: KEY - MXA: RING - FWT
00003 - DX FSH BUS : DXFSHBUS: KEY - MFJ: RING - FWT
00003 - FAY MT DOM : FAYMTDOM: KEY - MBS: RING - FWT
00003 - FIL WT BOE : FILWTBOE: KEY - MMA: RING - FWT
00003 - FMRI T FTP : FMRITFTP: KEY - MZM: RING - FWT
00003 - FT UNTI DC : FTUNTIDC: KEY - MMN: RING - FWT
00003 - GAME GX RO : GAMEGXRO: KEY - MQF: RING - FWT
00003 - GLUE G OCT : GLUEGOCT: KEY - MYZ: RING - FWT
00003 - GMC GG PID : GMCGGPID: KEY - MTR: RING - FWT
00003 - GP GE GOER : GPGEGOER: KEY - MKV: RING - FWT
00003 - HHS PBT TA : HHSPBTTA: KEY - MAJ: RING - FWT
00003 - HY LEB TEE : HYLEBTEE: KEY - MMZ: RING - FWT
00003 - IN CWM COD : INCWMCOD: KEY - MLO: RING - FWT
00003 - IN DOM HME : INDOMHME: KEY - MRL: RING - FWT
00003 - IN MIM FRU : INMIMFRU: KEY - MTK: RING - FWT
00003 - IN SEMI PC : INSEMIPC: KEY - MKC: RING - FWT
00003 - JD HDL PTE : JDHDLPTE: KEY - MDM: RING - FWT
00003 - JG GALI QC : JGGALIQC: KEY - MJE: RING - FWT
00003 - JIL NLD DX : JILNLDDX: KEY - MED: RING - FWT
00003 - KM ROE PYX : KMROEPYX: KEY - MOZ: RING - FWT
00003 - LIO PF OMI : LIOPFOMI: KEY - MYJ: RING - FWT
00003 - LK OMF GAG : LKOMFGAG: KEY - MZR: RING - FWT
00003 - LOON F BXF : LOONFBXF: KEY - MCX: RING - FWT
00003 - LZ ORF GAM : LZORFGAM: KEY - MRT: RING - FWT
00003 - MAL KC GAO : MALKCGAO: KEY - MIQ: RING - FWT
00003 - MC SECK NI : MCSECKNI: KEY - MEG: RING - FWT
00003 - MDS RCP FM : MDSRCPFM: KEY - MJQ: RING - FWT
00003 - NAW CD KPM : NAWCDKPM: KEY - MMM: RING - FWT
00003 - NDA ODU VM : NDAODUVM: KEY - MPB: RING - FWT
00003 - NFG LDP CF : NFGLDPCF: KEY - MQE: RING - FWT
00003 - NL AMD GAY : NLAMDGAY: KEY - MTI: RING - FWT
00003 - NLP IDF PI : NLPIDFPI: KEY - MRZ: RING - FWT
00003 - NS BSD DOG : NSBSDDOG: KEY - MMH: RING - FWT
00003 - ODI GUM LV : ODIGUMLV: KEY - MPN: RING - FWT
00003 - OG PSU PPV : OGPSUPPV: KEY - MCU: RING - FWT
00003 - OT DAUB LV : OTDAUBLV: KEY - MNQ: RING - FWT
00003 - PB RRR OVI : PBRRROVI: KEY - MBG: RING - FWT
00003 - PI MER GAB : PIMERGAB: KEY - MIJ: RING - FWT
00003 - PM RH RACQ : PMRHRACQ: KEY - MCQ: RING - FWT
00003 - PX DVR LSA : PXDVRLSA: KEY - MAH: RING - FWT
00003 - Q GCC JOED : QGCCJOED: KEY - MDI: RING - FWT
00003 - RBI VVD FF : RBIVVDFF: KEY - MIL: RING - FWT
00003 - RD LIV FLQ : RDLIVFLQ: KEY - MWY: RING - FWT
00003 - RE XXV LOP : REXXVLOP: KEY - MKW: RING - FWT
00003 - SJ BB WUTW : SJBBWUTW: KEY - MNV: RING - FWT
00003 - TAR CQ PSY : TARCQPSY: KEY - MHJ: RING - FWT
00003 - UF LLI CHH : UFLLICHH: KEY - MGG: RING - FWT
00003 - USD VID HX : USDVIDHX: KEY - MHY: RING - FWT
00003 - VEX EA IOC : VEXEAIOC: KEY - MBQ: RING - FWT
00003 - VFD LA COI : VFDLACOI: KEY - MXZ: RING - FWT
00003 - VITA A CEB : VITAACEB: KEY - MOM: RING - FWT
00003 - W PERO MBR : WPEROMBR: KEY - MIC: RING - FWT
00004 - DRA TH LJ W : DRATHLJW: KEY - MZJ: RING - FWT
00004 - DS IN HUG U : DSINHUGU: KEY - MAN: RING - FWT
00004 - DS J NH JOP : DSJNHJOP: KEY - MZN: RING - FWT
00004 - DV WOH Z SE : DVWOHZSE: KEY - MHL: RING - FWT
00004 - DW A AHD IP : DWAAHDIP: KEY - MWK: RING - FWT
00004 - DW CE H GAD : DWCEHGAD: KEY - MFC: RING - FWT
00004 - DX PI HF GI : DXPIHFGI: KEY - MID: RING - FWT
00004 - DX TH HI QC : DXTHHIQC: KEY - MJR: RING - FWT
00004 - DZ C PHR TD : DZCPHRTD: KEY - MHO: RING - FWT
00004 - DZ HD HQ BM : DZHDHQBM: KEY - MBO: RING - FWT
00004 - DZ J THC JE : DZJTHCJE: KEY - MBH: RING - FWT
00004 - DZ K VHS SF : DZKVHSSF: KEY - MLF: RING - FWT
00004 - DZ POH X GT : DZPOHXGT: KEY - MOD: RING - FWT
00004 - E PFC Y KUR : EPFCYKUR: KEY - MHC: RING - FWT
00004 - EAF WY C UW : EAFWYCUW: KEY - MEM: RING - FWT
00004 - EDGE Y CT G : EDGEYCTG: KEY - MAT: RING - FWT
00004 - EDU Q YE KK : EDUQYEKK: KEY - MNE: RING - FWT
00004 - EL GF YA QO : ELGFYAQO: KEY - MCG: RING - FWT
00004 - ELI PY C VH : ELIPYCVH: KEY - MJF: RING - FWT
00004 - EM NT YJ JY : EMNTYJJY: KEY - MRG: RING - FWT
00004 - EMD VY LL Y : EMDVYLLY: KEY - MKJ: RING - FWT
00004 - EON AY WW L : EONAYWWL: KEY - MSH: RING - FWT
00004 - EP FF Y QUR : EPFFYQUR: KEY - MKP: RING - FWT
00004 - EP MW Y GAR : EPMWYGAR: KEY - MJH: RING - FWT
00004 - F HZ XT GAY : FHZXTGAY: KEY - MAC: RING - FWT
00004 - F KAW TO TJ : FKAWTOTJ: KEY - MOQ: RING - FWT
00004 - F MUC TWO M : FMUCTWOM: KEY - MZY: RING - FWT
00004 - F OVT TD JP : FOVTTDJP: KEY - MNO: RING - FWT
00004 - FA SR TO DP : FASRTODP: KEY - MCP: RING - FWT
00004 - FB VET A KM : FBVETAKM: KEY - MPR: RING - FWT
00004 - FC J A TONT : FCJATONT: KEY - MVD: RING - FWT
00004 - FC NRT JN A : FCNRTJNA: KEY - MGR: RING - FWT
00004 - FD KC TS YA : FDKCTSYA: KEY - MVK: RING - FWT
00004 - FDA OT KB B : FDAOTKBB: KEY - MBV: RING - FWT
00004 - FF AL THW L : FFALTHWL: KEY - MDX: RING - FWT
00004 - FF KL T SSB : FFKLTSSB: KEY - MYM: RING - FWT
00004 - FFS LT JD A : FFSLTJDA: KEY - MHT: RING - FWT
00004 - FH GN TAB J : FHGNTABJ: KEY - MRH: RING - FWT
00004 - FT CW T BRD : FTCWTBRD: KEY - MJO: RING - FWT
00004 - FV FK TZU Z : FVFKTZUZ: KEY - MFH: RING - FWT
00004 - FX DJ T KOH : FXDJTKOH: KEY - MVS: RING - FWT
00004 - FX GH TW QM : FXGHTWQM: KEY - MUF: RING - FWT
00004 - G DEF GH ST : GDEFGHST: KEY - MQC: RING - FWT
00004 - G EX SGR FS : GEXSGRFS: KEY - MQA: RING - FWT
00004 - G FUL GO PT : GFULGOPT: KEY - MCL: RING - FWT
00004 - G KB KG GAH : GKBKGGAH: KEY - MEQ: RING - FWT
00004 - G YEH G GAE : GYEHGGAE: KEY - MPT: RING - FWT
00004 - GC HD GJ NH : GCHDGJNH: KEY - MMU: RING - FWT
00004 - GC WH GH NS : GCWHGHNS: KEY - MVB: RING - FWT
00004 - GD GF GY QO : GDGFGYQO: KEY - MHI: RING - FWT
00004 - GE XY GI BC : GEXYGIBC: KEY - MMK: RING - FWT
00004 - GF PL GD BF : GFPLGDBF: KEY - MKK: RING - FWT
00004 - GG N NG POH : GGNNGPOH: KEY - MFY: RING - FWT
00004 - GHZ YG IS C : GHZYGISC: KEY - MQZ: RING - FWT
00004 - GJ W VG ECG : GJWVGECG: KEY - MPM: RING - FWT
00004 - GL RK GHS I : GLRKGHSI: KEY - MYF: RING - FWT
00004 - GO AKG GA X : GOAKGGAX: KEY - MMR: RING - FWT
00004 - GP Y VGR MR : GPYVGRMR: KEY - MSY: RING - FWT
00004 - GQ BT GM JI : GQBTGMJI: KEY - MTD: RING - FWT
00004 - GZ DT GJ JP : GZDTGJJP: KEY - MOP: RING - FWT
00004 - H BMJ B TEH : HBMJBTEH: KEY - MNI: RING - FWT
00004 - H DU CBT PE : HDUCBTPE: KEY - MWM: RING - FWT
00004 - H KFC BT UP : HKFCBTUP: KEY - MQL: RING - FWT
00004 - H KYO BT LI : HKYOBTLI: KEY - MTO: RING - FWT
00004 - H OF MBT US : HOFMBTUS: KEY - MAU: RING - FWT
00004 - HB AFB TY G : HBAFBTYG: KEY - MEV: RING - FWT
00004 - HC ZA BTN S : HCZABTNS: KEY - MJB: RING - FWT
00004 - HEX GB T MM : HEXGBTMM: KEY - MIK: RING - FWT
00004 - HEX ZB T FH : HEXZBTFH: KEY - MTS: RING - FWT
00004 - HG ZN B TRU : HGZNBTRU: KEY - MBN: RING - FWT
00004 - HH FR BTU T : HHFRBTUT: KEY - MHV: RING - FWT
00004 - HIG VB TY T : HIGVBTYT: KEY - MUM: RING - FWT
00004 - HL GP BTW L : HLGPBTWL: KEY - MPS: RING - FWT
00004 - HM LV BT PB : HMLVBTPB: KEY - MKE: RING - FWT
00004 - HO JR BT BE : HOJRBTBE: KEY - MHS: RING - FWT
00004 - HP MW BT OR : HPMWBTOR: KEY - MGA: RING - FWT
00004 - HP RR B TYR : HPRRBTYR: KEY - MRM: RING - FWT
00004 - HR AN BT LP : HRANBTLP: KEY - MPL: RING - FWT
00004 - HR ZW BT DH : HRZWBTDH: KEY - MAF: RING - FWT
00004 - HRP N BTK Q : HRPNBTKQ: KEY - MMJ: RING - FWT
00004 - HX FSB T UW : HXFSBTUW: KEY - MEC: RING - FWT
00004 - HX TO BTK U : HXTOBTKU: KEY - MXO: RING - FWT
00004 - HZ PVB TS J : HZPVBTSJ: KEY - MRX: RING - FWT
00004 - IN B WM KDF : INBWMKDF: KEY - MHA: RING - FWT
00004 - IN BOM V RZ : INBOMVRZ: KEY - MUL: RING - FWT
00004 - IN BZ MJ GG : INBZMJGG: KEY - MPC: RING - FWT
00004 - IN CEM MG D : INCEMMGD: KEY - MKZ: RING - FWT
00004 - IN D Q MAIK : INDQMAIK: KEY - MKF: RING - FWT
00004 - IN DWM A EB : INDWMAEB: KEY - MIP: RING - FWT
00004 - IN DZ MX PG : INDZMXPG: KEY - MBI: RING - FWT
00004 - IN E XML CP : INEXMLCP: KEY - MIY: RING - FWT
00004 - IN FV M BUY : INFVMBUY: KEY - MGP: RING - FWT
00004 - IN H DMU YU : INHDMUYU: KEY - MAG: RING - FWT
00004 - IN HD MJ PP : INHDMJPP: KEY - MWF: RING - FWT
00004 - IN IF MOB X : INIFMOBX: KEY - MNG: RING - FWT
00004 - IN IZ MH GW : INIZMHGW: KEY - MFV: RING - FWT
00004 - IN J EMU BT : INJEMUBT: KEY - MNK: RING - FWT
00004 - IN JP MM SO : INJPMMSO: KEY - MWD: RING - FWT
00004 - IN LIM F QE : INLIMFQE: KEY - MFS: RING - FWT
00004 - IN SEM JP A : INSEMJPA: KEY - MXU: RING - FWT
00004 - IN SN MX EX : INSNMXEX: KEY - MOF: RING - FWT
00004 - IN V IMF CY : INVIMFCY: KEY - MZT: RING - FWT
00004 - J EX KL VIG : JEXKLVIG: KEY - MWR: RING - FWT
00004 - J JFK LK UX : JJFKLKUX: KEY - MPI: RING - FWT
00004 - J ZW CL GAY : JZWCLGAY: KEY - MXG: RING - FWT
00004 - JK NCL H LG : JKNCLHLG: KEY - MVR: RING - FWT
00004 - JSC EL RS D : JSCELRSD: KEY - MTB: RING - FWT
00004 - JX MAL HR I : JXMALHRI: KEY - MYU: RING - FWT
00004 - JY GJ LI BC : JYGJLIBC: KEY - MCN: RING - FWT
00004 - K CD NEW NX : KCDNEWNX: KEY - MGD: RING - FWT
00004 - K DW FEI GC : KDWFEIGC: KEY - MVN: RING - FWT
00004 - K DZ RE GAZ : KDZREGAZ: KEY - MAA: RING - FWT
00004 - K QB ME BBI : KQBMEBBI: KEY - MDN: RING - FWT
00004 - K XB GEL MW : KXBGELMW: KEY - MNL: RING - FWT
00004 - K ZNS EM MG : KZNSEMMG: KEY - MMO: RING - FWT
00004 - KB TP EXD J : KBTPEXDJ: KEY - MLG: RING - FWT
00004 - KG LO EUX B : KGLOEUXB: KEY - MCC: RING - FWT
00004 - KJ J VEH LI : KJJVEHLI: KEY - MIO: RING - FWT
00004 - KL H DEU CZ : KLHDEUCZ: KEY - MDY: RING - FWT
00004 - KP KG ES VR : KPKGESVR: KEY - MIX: RING - FWT
00004 - KW MJ ECK Y : KWMJECKY: KEY - MDG: RING - FWT
00004 - KY TIE F BQ : KYTIEFBQ: KEY - MSA: RING - FWT
00004 - L BOI FFF W : LBOIFFFW: KEY - MMI: RING - FWT
00004 - L FOL F GAZ : LFOLFGAZ: KEY - MCV: RING - FWT
00004 - L FOL FEY S : LFOLFEYS: KEY - MJG: RING - FWT
00004 - L GO IFF KT : LGOIFFKT: KEY - MQU: RING - FWT
00004 - L HOT F UJU : LHOTFUJU: KEY - MVO: RING - FWT
00004 - L KO AFM PX : LKOAFMPX: KEY - MUG: RING - FWT
00004 - L MOZ FOP O : LMOZFOPO: KEY - MXR: RING - FWT
00004 - L ROS F MBT : LROSFMBT: KEY - MYW: RING - FWT
00004 - L ROWF QS E : LROWFQSE: KEY - MYH: RING - FWT
00004 - L WOT FI JC : LWOTFIJC: KEY - MFE: RING - FWT
00004 - LB O IF FBI : LBOIFFBI: KEY - MQP: RING - FWT
00004 - LD ON FC GT : LDONFCGT: KEY - MNR: RING - FWT
00004 - LIO GF CM O : LIOGFCMO: KEY - MPY: RING - FWT
00004 - LIO OF J DJ : LIOOFJDJ: KEY - MDU: RING - FWT
00004 - LJ OAF V YZ : LJOAFVYZ: KEY - MDP: RING - FWT
00004 - LL O IFF TY : LLOIFFTY: KEY - MHH: RING - FWT
00004 - LT OR FBK A : LTORFBKA: KEY - MOO: RING - FWT
00004 - LV OAF ZP U : LVOAFZPU: KEY - MWH: RING - FWT
00004 - LW O VFB IF : LWOVFBIF: KEY - MAO: RING - FWT
00004 - LZ OS FK BJ : LZOSFKBJ: KEY - MCK: RING - FWT
00004 - M CSN CW NA : MCSNCWNA: KEY - MBA: RING - FWT
00004 - M FB LC XVI : MFBLCXVI: KEY - MXF: RING - FWT
00004 - M TZ SCL XG : MTZSCLXG: KEY - MQB: RING - FWT
00004 - MG BZ CV IH : MGBZCVIH: KEY - MAS: RING - FWT
00004 - MG KM CS GJ : MGKMCSGJ: KEY - MRB: RING - FWT
00004 - MG NZ CO GU : MGNZCOGU: KEY - MZO: RING - FWT
00004 - MGM VC LV F : MGMVCLVF: KEY - MZH: RING - FWT
00004 - MM ZM CP GQ : MMZMCPGQ: KEY - MKQ: RING - FWT
00004 - MV NK CZ VP : MVNKCZVP: KEY - MAD: RING - FWT
00004 - MX JN CRY S : MXJNCRYS: KEY - MAK: RING - FWT
00004 - N GAK DK DS : NGAKDKDS: KEY - MBL: RING - FWT
00004 - N HZ PD BVI : NHZPDBVI: KEY - MUE: RING - FWT
00004 - N IF ND DUZ : NIFNDDUZ: KEY - MFW: RING - FWT
00004 - N IFV DVU Y : NIFVDVUY: KEY - MLH: RING - FWT
00004 - N PY WD DER : NPYWDDER: KEY - MRC: RING - FWT
00004 - NA KOD S TZ : NAKODSTZ: KEY - MNP: RING - FWT
00004 - NF FL DHU W : NFFLDHUW: KEY - MQJ: RING - FWT
00004 - NFL LD J PB : NFLLDJPB: KEY - MMF: RING - FWT
00004 - NHK VD SF Q : NHKVDSFQ: KEY - MVH: RING - FWT
00004 - NO DID FC A : NODIDFCA: KEY - MRF: RING - FWT
00004 - NV BM DZ PX : NVBMDZPX: KEY - MJY: RING - FWT
00004 - NV MPD Z TI : NVMPDZTI: KEY - MJW: RING - FWT
00004 - NV WG DZ TT : NVWGDZTT: KEY - MNU: RING - FWT
00004 - NX VS DC SJ : NXVSDCSJ: KEY - MBF: RING - FWT
00004 - NX WR DEV Q : NXWRDEVQ: KEY - MSX: RING - FWT
00004 - NZ DCD CW L : NZDCDCWL: KEY - MSK: RING - FWT
00004 - NZ HD DIV C : NZHDDIVC: KEY - MRA: RING - FWT
00004 - NZ RED U QT : NZREDUQT: KEY - MFF: RING - FWT
00004 - O BDS U LOV : OBDSULOV: KEY - MGF: RING - FWT
00004 - O CMG URN V : OCMGURNV: KEY - MXJ: RING - FWT
00004 - O DMZ U DEV : ODMZUDEV: KEY - MYR: RING - FWT
00004 - O IZ RUR PV : OIZRURPV: KEY - MLX: RING - FWT
00004 - O YR JU VVV : OYRJUVVV: KEY - MJL: RING - FWT
00004 - OB WP UGA V : OBWPUGAV: KEY - MWE: RING - FWT
00004 - OC BP UM NV : OCBPUMNV: KEY - MOG: RING - FWT
00004 - OC N FUE NV : OCNFUENV: KEY - MUB: RING - FWT
00004 - OF PL URC V : OFPLURCV: KEY - MFT: RING - FWT
00004 - OG SIU FR V : OGSIUFRV: KEY - MXP: RING - FWT
00004 - OI HD UCD V : OIHDUCDV: KEY - MSR: RING - FWT
00004 - OJ Z SUGA V : OJZSUGAV: KEY - MVI: RING - FWT
00004 - OK KV US MV : OKKVUSMV: KEY - MUN: RING - FWT
00004 - OL NX UMO V : OLNXUMOV: KEY - MHK: RING - FWT
00004 - OME J UH LV : OMEJUHLV: KEY - MJV: RING - FWT
00004 - OR D XU JYV : ORDXUJYV: KEY - MEO: RING - FWT
00004 - OS KG US TV : OSKGUSTV: KEY - MZK: RING - FWT
00004 - OS ZW UMB V : OSZWUMBV: KEY - MSB: RING - FWT
00004 - OVI GU ZY V : OVIGUZYV: KEY - MRI: RING - FWT
00004 - OX IS UH OV : OXISUHOV: KEY - MZG: RING - FWT
